ID,Title,Category,Plot
10,Anbu Thozhi,"""Romance Film""","The film opens with a simpleton from a small village in Tamil Nadu wanting to become a musician in the Tamil film industry. The role played by debutant Prabhu  goes to Chennai in search of his dream career where he meets Pandya . Pandya helps Prabhu into the big city life and they become good friends. Prabhu meets Yazhini  who helps him meet a famous Director, who gives Prabhu a chance to prove his music skills. On becoming a successful man, Prabhu finds love in Yazhini who helped him achieve his dream. When Prabhu decides to reveal his feelings for Yazhini, she breaks the news about Karuppu  who helped her many years ago when she was abandoned as a child during the war and also helped her reach India. Yazhini requests Prabhu to go find and talk to Karuppu about her love for Karuppu. Prabhu hides his love and sets off to find Karuppu. On meeting Karuppu, Prabhu realizes that he is a man for the country which he is fighting for and that he has no room in his heart for any individual human soul. His country was his life. Prabhu returns home a confused man and tells Yazhini that Karuppu also was in love with her and that he will soon come to marry her. Confusions grow as Prabhu's mother comes to Chennai to meet her future daughter in law. Pandya reveals the truth about Karuppu to everybody and Yazhini realizes that by waiting for Karuppu  she is not giving life its true meaning. The film closes with Yazhini and Prabhu getting together."
11,Baby Boy,"""Crime Fiction"",  ""Drama"",  ""Coming of age""","A young 20-year-old named Jody  lives with his mother Juanita , in South Central Los Angeles. He spends most of his time with his unemployed best friend P , and does not seem interested in becoming a responsible adult. However, he is forced to mature as a result of an ex-con named Melvin , who moves into their home. Another factor is his children - a son with his girlfriend Yvette  and a daughter with a girl named Peanut, who also lives with her mother. At the beginning of the movie Yvette has an abortion that Jody forced her to have. Yvette constantly asks Jody if he will ever come live with her and their son, but Jody avoids the subject and comes and goes as he pleases. Jody also continues seeing and having sex with other women, including Peanut. This becomes an issue between him and Yvette as well, especially since Yvette and Peanut do not get along. When she discovers his cheating they get in a heated argument which results to Jody slapping Yvette in the face. After this, Yvette changes the locks on the door. This infuriates Jody and they get into an argument. Their son comes out of his room and runs to the door. Yvette grabs him and cradles him while he yells, ""I wanna see my daddy."" Eventually, Yvette's gangster ex-boyfriend Rodney  is released from San Quentin State Prison, and returns to the neighborhood to move in with Yvette, much to her dismay. Rodney doesn't care for Yvette and Jody's son and wants to impregnate Yvette himself. Rodney attempts to rape Yvette in front of her son. She tells him, ""So you're really gonna rape me in front of my son"". Rodney pauses for a minute then pushes her son out of the way and walks out of the room. Jody Jr. aka JoJo then says, ""I want my daddy."" Yvette then cradles her son and replies, ""I know baby, I do too."" For the next couple of days Yvette lives in fear and disgust of Rodney being there and misses Jody. Rodney, who realizes this, steals the money from her wallet and takes off in her car to go and find Jody. Rodney tries to kill Jody in a drive-by shooting; however, he is unsuccessful with both efforts. After this Yvette kicks Rodney and his friends out of her apartment. While at Sweetpea's house playing cards, Yvette and Sweetpea's girlfriend Kim step outside. Yvette then goes and sits beside Jody. When Jody ignores her she throws the chair back and runs off. Jody goes after her. She then tells Jody about everything she has been going through, even about Rodney trying rape her. Jody then hugs Yvette and says that he's been missing her. Jody and Sweetpea confront Rodney, and as he attempts to escape, Jody shoots him in the ankle. Sweetpea urges Jody to kill Rodney, but he refuses, at which point Sweetpea kills Rodney himself. Feeling guilty for Rodney's death, Jody prepares to commit suicide by shooting himself in the head, but Melvin catches him and takes the gun. After reflecting on the death of Rodney and how he put Yvette and his son in danger by not being around consistently, Jody finally moves out of his mom's house and in with Yvette. They move into a motel after the killing. Jody has now become a mature man, realizing that his mom's relationship with Melvin is a stable one and that he has a family of his own that he needs to protect and take care of. Afterwards, Jody and Yvette get married and she becomes pregnant with Jody's third child and her second child with him. Sweetpea decides to turn over a new life and gets baptized, putting his old life as a street thug behind him."
12,Bindiya Chamkegi,"""Family Film"",  ""Comedy""","Shalini 'Shalu' lives a wealthy lifestyle with her businessman brother, Shyam Kapoor, and is expected to marry Surajbhan, the son of wealthy Thakursaheb. She would prefer that Shyam got married first so that he can have someone to look after him, but as he was in love with a woman named Maya, who betrayed him, and since then he has taken to alcohol in a big way, and hates women. When he fails to convince Shalu to marry, he gets married to a woman named Bindiya and brings her home with him. A thrilled Shalu gives her consent to get married, and also announces that she would like to give a formal reception for her brother's marriage. The reception does take place, but Thakursaheb subsequently informs Shyam that Surajbhan has already got married abroad to a woman of his choice. Shyam asks his friend, Ranjeet, and both arrange for Shalu's marriage to Daulatram's son, however, Bindiya does not approve of him, and as a result Shalu rejects him. What Shalu does not know is that Shyam is not really married, but has hired Bindiya to act as his wife; and what Shyam does not know is that Ranjeet is not who he really claims to be, but someone else who has got a number of scores to settle with Shyam."
13,Vandanam,"""Action""","Professor Kurian Fernandez , a convict escapes from jail, along with Raghu , his cell mate. After a failed attempt to chase and nab the duo, the officials draws out several plans to capture both. Police authorities strongly feel that Fernandez will land up in Banglore and may try to meet up with his only daughter. Unnikrishnan  and K.Purushothaman Nair , two inspectors from Kerala police are sent to Bangalore to follow the activities of Gadha , daughter of Fernandez. Upon reaching Bangalore, Unnikrishnan meets Peter ([[Mukesh , his college mate, who is also now an inspector with Karnataka police. Unnikrishnan and Peter makes up a team and sidelines Purushothaman Nair, who struggles hard to cope up with Kannada language. The police team stays at a room just opposite to where Gadha stays as a paying guests. Gadha, working at an advertisement agency as a copy writer is staying along with Maggie Aunty , who is constantly in fight with her son . Unnikrishnan and Peter, who are born flirts, are more interested in drinking and playing cards than investigation. K.P.Nair tries to report this to the authorities, but fails in getting both in control. Unnikrishnan slowly develops a crush towards Gadha, which gets transformed into a full fledged passion, but Gadha never accepts it. Unni befriends with Maggie aunty and tries all ways to woo Gadha. Meanwhile Unni and Peter finds out that Fernandez is in the city and is constantly in touch with Gadha. The police commissioner  is in all efforts to nab Fernandez. Unnikrishnan decides to use Gadha to reach out Fernandez. Gadha reveals to Unni about the past of Fernandez, when he was a college professor, who was loved and cared by the students. The sincere professor questioned the college authorities on many administration malpractices, which made him a dust in their eyes. The son of the police commissioner was punished by professor, which led to serious fracas in college and authorities were forced to take action on him under severe protests from students. In retaliation, he attacked professor while traveling with a female student. The girl got raped and killed and professor was falsely convicted in the case. Now, professor is out of jail to avenge on it. Unnikrishnan tries to convince professor with the help of Gadha, but he fails to give up. Meanwhile, an old man, who is a client of the ad agency, where Gadha works, likes her and asks her to join him as his secretary abroad. Gadha, who had by then developed a soft feeling towards Unni lets him to bring his mother  to see her. At the same time, Professor succeeds in killing the son of the commissioner. He orders a shoot at sight at Fernandez. Professor goes berserk and looses mental stability and decides to plant a bomb at the city stadium, which might kill hundreds of civilians. Unnikrishnan asks Gadha to make him give up this heinous plan, but he refuses. That evening, Fernandez plants a bomb, but police team under Unnikrishnan corners him and takes him to the tower. Professor, despite repeated requests denies to explain how defuse the bomb. But Unnikrishnan successfully defuses the bomb, thereby saving the lives of hundreds. But Gadha, who actually wanted to join with Unni, couldn't join with him and decides to go with the old man to London. The film ends with both the cars with Gadha and Unni stopping at a junction, when the signal turns green, they move to opposite roads."
14,Anokha Rishta,"""World cinema"",  ""Musical"",  ""Drama"",  ""Romantic drama"",  ""Romance Film"",  ""Bollywood""","Mary, an orphan lives in an orphanage run by nuns. She is good at studies and is artistically talented. Until her adulthood, her education was being sponsored by a philanthropist. Though she has never met her sponsor, an old man, but she gets to know of the fact that he is the sponsor through the nuns. Her sponsor one day passes away. As a result, her dreams of a college education are ruined. She struggles to get educated further. Mr. Robert Brown , who is now at the helm of affairs of his father's business, agrees to continue her sponsorship. Bob is a bachelor and Mary falls in love with Bob. She learns that love comes when you least expect it in this romantic drama. A new patron comes to her aid, but love threatens to get in the way of Mary's education. Anokha Rishta, perfectly harmonizing with its title, is the story of an unusual relationship between Mary  and Robert Brown . Teenager Mary is an orphan and lives in an orphanage run by nuns. Her education had been sponsored by Robert’s father in his lifetime. After the demise of his father, when Robert takes independent charge of the family business, he comes to know of this sponsorship. Being benevolent by nature, he decides to continue it in his father’s name itself. Mary has never met her sponsor and she even does not know him by name. For her, the identity of her sponsor is ’uncle’ only to whom she regularly writes letters and her uncle  always responds to them. A youth  loves her but she ignores his advances because of his image of an irresponsible and loafer boy. On the other hand, Robert has always been in love with Dr. Pramila  but due to following different religious faiths and their parents not allowing them to marry someone from a different religion, they could not marry. However being mature and true lovers, they chose not to marry somebody else too and decided to remain bachelors only. The twist in the tale comes with Mary coming across Robert in a party and despite himself being more than double of her age, falls in love with him. She expresses her feelings to him but he discourages her from making advances towards him in this way. On the other hand, maintaining a benevolent attitude and wanting her to lead a happy life, Robert helps Mary’s lover to come closer to her and guides him to grow up, besides giving him a job in his own office. Mary, being mad in Robert’s love without knowing that he only is her sponsor and 'her uncle’ whom she writes to and gets letters from, keeps on living in her dreamy world of a married life with Robert. Her problem is that she cannot share her feelings and mental agony  with ’her uncle’ because all the incoming and outgoing letters  of Mary are screened first by the head of the orphanage . Finally, when Robert breaks her heart , she decides to become a nun and writes a final letter to 'her uncle’ with a special and last request to the head of the orphanage to deliver it to ’her uncle’ without opening it and reading its content. Dr. Pramila, knowing all these developments, tries to stop Mary but she remains firm on her decision. Now her lover  also gets desperate upon knowing this decision of hers. Finally the onus falls on the shoulders of Robert only to do something to prevent Mary from taking this drastic step and that leads to the highly emotional and impressive climax."
15,Karayilekku Oru Kadal Dooram,"""Drama""","Anoop Chandran , is a famous writer and award winner. Prone to seeing future events that turn out to be real, one day Anoop sees his own death in a trance. He decides to write one final novel before death comes visiting. Anoop has a wife Meena([[Sarayu , who never understands the writer in him. At the same time, Anoop is in love with dancer Gatha , with whom he shares a live-in relationship. Anoop always tells Gatha about his lost love Sathyabhama , who was his lover in college. Excited about hearing Sathyabhama aka Bhama, Gatha wants to locate Bhama and goes to Anoop's tharavadu  with him. From there they goes to Bhama's native Vattakkulam to find Bhama. That place incidently was the native of Gatha's parents also. They returned, unsuccessful in finding Bhama. Gatha went to Kolkata for her dance performances while Anoop returned to Kerala. Three months later, Gatha got a call from Anoop. Gatha was shocked to hear that actuallly there was no girl as Bhama but was only an imaginary character created by Anoop for his final novel. Anoop was actually developing Bhama's story through Gatha. Anoop finally told Gatha that he sent the novel to Gatha and Gatha has the right to give it a title and publish and added that he is about to reach the end of his life, which he realised some time back. In the final scene, we see Anoop heading to some remote destination in the snow-clad mountains, to embrace his death, which bestows him."
16,Siam Sunset,"""Romantic comedy"",  ""Romance Film"",  ""Comedy"",  ""World cinema"",  ""Indie""","Perry is an English chemist working for a paint company and is depressed after losing his wife in a freak accident. As he tries to invent the new color Siam Sunset, he wins a prize, takes leave, and travels to Australia. Grace , on the same tour bus, also has a troubled life. Together they hope to color the world with love rather than paint, but will the universe let them?Siam Sunset at Turner Classic Movies"
17,Kausthubham,"""Drama""",The film is the story of Yamuna  whose life is filled with worries and sorrows. Her husband ([[Vijayaraghavan  is sent to jail on a false count of murder. Her three year old son gets lost during a temple festival and that increases her problems. She prays to Lord Krishna and the lord appear and miraculous things take place.
18,Archie: To Riverdale and Back Again,"""Comedy""","Archie Andrews, fifteen years after graduating from Riverdale High, has become a successful lawyer and is getting ready to marry his fiancée, Pam, and move to ""the big city."" Before doing that, however, he returns home to Riverdale for his high school reunion. Archie and company are all now in their early thirties, with the trials and tribulations one might expect to have happened to such a group over the years: *Betty, a grade school teacher, is constantly bossed around by her crummy boyfriend, Robert. *Veronica, having lived in France since graduation, has been married  four times. *Jughead, now a psychiatrist, is also a divorcé with a son, Jordan. Jughead carries emotional baggage that manifests itself in a terrible fear of women.  This is played for laughs at the end when at the reunion it turns out that Big Ethel is no longer the gangly, awkward teenager she once was but is now a striking beauty. *Moose and Midge have gotten married and become chiropractors. They also have a son, Max, who hits it off with Jordan. When Archie sees Betty and Veronica for the first time in fifteen years, all his old feelings for them come flooding back, threatening his engagement—and it doesn't help that the girls renew their pursuit of Archie, heedless of the fact that he has a fiancée. Meanwhile, Archie also tries to keep gym owner Reggie, helped along by an uncharacteristically menacing Mr. Lodge, from evicting Pop Tate from his soda shop. Archie ultimately saves the Chock'lit Shoppe, though he loses Pam in the bargain, and decides to stay in Riverdale."
19,Troops,"""Fan film"",  ""Short Film"",  ""Indie""","An example of the film's comedic tone comes in the opening monologue, which spoofs the opening of COPS: ""TROOPS is filmed on location with the men of the Imperial Forces. All suspects are guilty--period! Otherwise, they wouldn't be suspects, would they?"" A small visual gag near the beginning of the film is that the stolen Imperial droid recovered from the Jawas appears to be Tom Servo from Mystery Science Theater 3000. In TROOPS there is a notable alternate  take on the deaths of Luke Skywalker's Uncle Owen and Aunt Beru, presenting their fate as the end result of a domestic dispute gone too far, rather than execution at the hands of Imperial forces. Indeed, the spotlighted members of Black Sheep Squadron attempt to mediate the dispute before Beru makes a disastrous move with a thermal detonator. The film ends with an incoming message about a possible disturbance in Mos Eisley Cantina."
20,Daddy and Them,"""Black comedy"",  ""Comedy""","Ruby and Claude Montgomery are a very insecure and jealous couple, who must help when Claude's Uncle Hazel is jailed for attempted murder. An Arkansan family reunites as they travel with Ruby's older sister Rose, with whom Claude had a previous relationship, and Ruby and Rose's mother Jewel, who continuously talks about Rose and Claude's past relationship, which irritates Ruby."
21,The Gods Must Be Crazy,"""Adventure"",  ""Action/Adventure"",  ""Indie"",  ""World cinema"",  ""Cult"",  ""Adventure Comedy"",  ""Comedy"",  ""Slapstick""","The film is a collision of three separate stories—the journey of a Ju/'hoansi Bushman to the end of the earth to get rid of a Coca-Cola bottle, the romance between a bumbling scientist and a schoolteacher, and a band of guerrillas on the run. Xi and his tribe of San/Bushmen relatives are living well off the land in the Kalahari Desert. They are happy because the gods have provided plenty of everything, and no one in the tribe has unfulfilled wants. One day, a glass Coca-Cola bottle is thrown out of an aeroplane and falls to earth unbroken. Initially, this strange artifact seems to be another boon from the gods—-Xi's people find many uses for it. But unlike anything that they have had before, there is only one bottle to go around. This exposes the tribe to a hitherto unknown phenomenon, property, and they soon find themselves experiencing things they never had before: jealousy, envy, anger, hatred, even violence. Since it has caused the tribe unhappiness on two occasions, Xi decides that the bottle is an evil thing and must be thrown off of the edge of the world. He sets out alone on his quest and encounters Western civilization for the first time. The film presents an interpretation of civilization as viewed through Xi's perceptions. There are also plot lines about shy biologist Andrew Steyn who is studying the local animals ; the newly hired village school teacher, a former newspaper reporter named Kate Thompson; and some guerrillas led by Sam Boga, who are being pursued by government troops after an unsuccessful attempt to massacre the Cabinet of ""Barani"" and the president. Also taking a share of the limelight is Steyn's Land Rover, dubbed the Antichrist  by his assistant and mechanic, M'pudi  . Also part of the chaos is an impudent safari tour guide named Jack Hind, who has designs on Thompson and often steals Steyn's thunder. Xi happens upon a farm and, being hungry as well as oblivious to the concept of ownership, shoots a goat with a tranquilizer arrow. For this he is arrested and jailed for stealing livestock. M'pudi, who lived with the Bushmen for a long time and speaks Xi's language, realizes that Xi will die in the alien environment of a prison cell, and he and Steyn manage to hire Xi as a tracker for the 11 remaining weeks of his prison sentence. Meanwhile, the guerrillas invade the school where Kate teaches and use her and her pupils as human shields for their escape by foot to the neighboring country and threaten to kill the children if they see one soldier. Steyn, M'pudi and Xi, who are unwittingly observing the local wildlife within the terrorists' chosen path, manage to immobilize the guerrillas as they are passing by and save Kate and the children. Steyn allows Xi to leave to continue his quest to the edge of the world, and subsequently he and Kate become romantically involved. Xi eventually finds himself at the top of a cliff with a solid layer of low-lying clouds obscuring the landscape below. This convinces Xi that he has reached the edge of the world, and he throws the bottle off the cliff (this scene was filmed at God's Window in Eastern Transvaal, South Africa . Xi then returns to his band and a warm welcome from his family."
